분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
A 연료연소_3 수송_c 철도,876.53728,891.7875,906.96659,978.02893,928.19897,938.06862,927.29509,923.49767,909.37475,946.3059,969.64086,979.26203,979.08748,1001.06803,856.10146,808.10857,736.3862,659.91665,650.04139,572.97257,556.05049,505.84473,508.088,448.43659,375.25375,341.80991,299.02917,289.13384,287.77058,273.40628,241.06792,214.42669
A 연료연소_3 수송_d 해운,2441.20143,1034.48837,1137.66344,4317.6187,3676.41746,3631.65794,1961.83871,2582.67665,2204.24386,2058.57112,2750.05469,2497.88632,2901.44866,3020.71932,2877.78875,2775.25108,2680.42654,2585.87082,2622.77214,2425.94095,2268.90385,2262.8234,2145.44117,1408.94874,1009.95804,1639.85862,1406.98033,1338.87228,1021.68975,1217.55577,994.43876,1278.77634
A 연료연소_3 수송_e 기타수송,448.89078,322.61969,339.6225,239.17352,330.76243,291.87063,394.32908,394.87206,467.09935,259.86785,291.29337,754.81904,349.20458,367.1514,326.77073,333.68785,337.31508,358.90659,353.47134,386.67343,379.84338,410.9375,401.13001,423.0863,472.09511,629.65028,784.3704,783.19364,487.1667,396.39835,132.43197,90.12347
A 연료연소_4 기타,74598.99834,67514.37703,67970.93654,69824.31144,68259.39473,74541.72523,78323.61811,80100.91318,62380.01783,72384.14976,69834.72802,68277.52302,68536.06651,66328.88501,62607.56715,64332.19863,60842.03975,59537.21872,57623.79187,55049.98903,55815.66622,55599.47438,55312.44232,53641.25999,49056.28797,50233.40564,51819.63821,52629.39995,52536.8289,49602.44519,47992.83196,47890.44699
A 연료연소_4 기타_a 상업공공,20271.29001,15607.55797,17415.1385,19673.08227,20174.49794,22403.21061,22412.82329,25000.35159,19378.39374,22552.8793,17876.26938,15750.84567,15653.77941,15781.0967,13698.86954,17466.09018,17071.83544,16667.25611,16101.05663,15124.41842,15138.32819,14619.04926,15903.16423,15168.62979,14326.86944,15499.05698,15452.69241,15170.19164,14764.30154,13595.89592,11862.03129,12052.57947
A 연료연소_4 기타_b 가정,49481.4333,46593.96538,44529.2981,43355.31273,40304.9258,43724.64278,46464.73401,44663.65653,33772.2855,39970.27388,41627.46424,41525.3608,42078.67532,41222.86098,40429.60744,38891.55502,36265.10946,35632.68817,35442.67105,33529.69408,34033.01618,34807.32901,33283.69571,32190.45755,29917.55086,30508.02788,32359.34904,33744.27998,34238.32533,32024.97752,31706.58336,31890.05871
A 연료연소_4 기타_c 농업임업어업,4846.27503,5312.85369,6026.49994,6795.91644,7779.97099,8413.87183,9446.06082,10436.90505,9229.33858,9860.99658,10330.9944,11001.31655,10803.61178,9324.92733,8479.09017,7974.55344,7505.09484,7237.27444,6080.06419,6395.87654,6644.32185,6173.09611,6125.58238,6282.17265,4811.86767,4226.32077,4007.59675,3714.92833,3534.20203,3981.57174,4424.21731,3947.80881
A 연료연소_5 미분류,181.46564,4654.76233,2940.84769,3147.60518,2837.57804,2811.55545,3068.15999,2920.44503,2652.69262,2723.80103,2401.06829,3108.4083,2829.30271,3311.78104,3140.32737,3219.17717,2841.96617,2897.9653,2593.35161,2868.04795,2938.83158,2871.96944,2919.87067,2973.8018,2854.29707,3091.65632,3066.66821,3188.80378,3115.11377,2941.29721,2907.10744,2918.69608
B 탈루,5112.2632,4558.70749,3789.69667,3159.56126,2733.09714,2387.45043,2396.31744,2476.1262,2351.36808,2535.70919,2669.45623,2703.60465,2713.21177,2784.90252,3060.30609,3111.10862,3170.33029,3394.11419,3451.85341,3246.92849,3780.36264,4040.59993,4350.62306,4470.26615,4091.98399,3764.14914,3896.65894,3976.45831,4427.21584,4197.52083,4206.1301,4547.1764
B 탈루_1 고체연료,4832.75164,4226.7279,3359.65641,2640.51198,2076.59271,1605.58398,1389.72837,1266.50261,1224.11744,1178.08321,1164.89048,1071.41854,931.35099,925.73706,895.70253,794.93249,792.68692,810.0901,778.37139,707.07448,584.97151,584.97151,587.77847,509.46415,490.65748,495.14863,484.48216,416.8343,336.8358,304.27501,286.11394,252.06546
B 탈루_2 석유 및 천연가스,279.51156,331.9796,430.04026,519.04929,656.50443,781.86645,1006.58907,1209.6236,1127.25064,1357.62598,1504.56576,1632.18611,1781.86078,1859.16546,2164.60356,2316.17613,2377.64337,2584.02409,2673.48202,2539.854,3195.39113,3455.62842,3762.84459,3960.802,3601.32651,3269.00052,3412.17678,3559.62401,4090.38004,3893.24582,3920.01616,4295.11094
B 탈루_2 석유 및 천연가스_a 석유,55.72543,73.74699,92.41842,100.05769,102.82784,113.90958,130.78486,158.21547,149.1754,158.34698,161.72155,155.88339,143.00192,143.77202,149.79689,153.90646,160.22272,171.00171,168.55609,163.08224,169.99532,180.34671,184.30645,177.38081,179.69339,198.78099,209.28036,217.22037,215.87465,207.4883,190.48766,186.67642
B 탈루_2 석유 및 천연가스_b 천연가스,223.78613,258.2326,337.62184,418.99159,553.67659,667.95688,875.8042,1051.40813,978.07524,1199.279,1342.84421,1476.30272,1638.85886,1715.39344,2014.80667,2162.26967,2217.42065,2413.02238,2504.92592,2376.77177,3025.39581,3275.28172,3578.53814,3783.42119,3421.63312,3070.21953,3202.89642,3342.40363,3874.50539,3685.75752,3729.5285,4108.43453
산업공정,20445.09645,24351.02256,29955.35689,34422.52483,38742.54029,43147.14986,44771.00948,49643.92029,40765.69129,48423.79299,50869.86074,49389.0035,53682.85184,56488.92474,58664.69273,54561.95361,54323.07524,51144.79976,50734.42025,47786.84651,53005.8315,52954.07016,54433.90447,55064.01717,57917.25202,54493.24193,53466.79756,56453.88138,55796.1463,52168.79144,48527.68857,51397.6156
A 광물산업,18822.68602,22481.80078,24880.47811,28968.25211,31134.9182,32713.06989,32975.94266,34157.22018,27454.07332,28458.41812,29664.40594,30759.31995,32243.8333,33120.62407,31761.61668,29055.85862,29000.64658,32737.68306,32608.78056,30555.02519,31657.94653,33338.16589,33586.18311,33824.64938,35083.76552,35583.08807,36527.08811,36594.56114,35015.48748,35112.76631,32341.1313,33476.51814
A 광물산업_1 시멘트생산,15873.0323,18962.26231,21128.86251,24700.49172,26839.97184,28104.56611,28308.49762,29320.37135,22878.948,23719.43552,24755.88767,25665.28527,27107.07497,27920.40082,26123.58923,23325.88131,23139.6777,26275.12287,26079.81496,24553.39156,24297.34735,24720.6049,24848.59697,25050.14058,25411.98801,25778.70651,26671.75656,26350.57591,24702.06426,24929.89538,22703.03562,23518.60439
A 광물산업_2 석회생산,261.039,302.19975,327,361.926,517.7835,648.261,644.63162,761.67552,773.45385,827.36082,815.16277,798.83539,769.52221,906.30421,946.00403,1048.64195,1044.01027,1035.8064,1885.78816,2648.33507,3017.35527,3364.34251,3415.52839,3290.28644,3336.14776,3466.01612,4171.09689,4216.25045,4366.36143,4398.92667,4036.70557,4276.84312
A 광물산업_3 석회석 및 백운석 소비,2458.58112,2989.64086,3167.04355,3654.84971,3486.86431,3657.39445,3714.48903,3771.28377,3566.97241,3633.47004,3807.86119,3994.63075,4082.12407,3992.56811,4400.9462,4411.45357,4563.74806,5189.75195,4407.09771,3159.55465,4125.88254,5014.85397,5120.61051,5279.71851,6115.17262,6110.39138,5444.7232,5797.41372,5718.07011,5577.92061,5414.12816,5492.49645
A 광물산업_4 소다회 생산 및 소비,230.0336,227.69787,257.57205,250.98468,290.29854,302.84833,308.32439,303.88954,234.69906,278.15174,285.4943,300.56853,285.11204,301.35093,291.07722,269.88178,253.21056,237.00185,236.07974,193.74391,217.36137,238.36451,201.44724,204.50386,220.45712,227.97407,239.51146,230.32106,228.99168,206.02365,187.26195,188.57418
A 광물산업_5 아스팔트 루핑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A 광물산업_6 아스팔트 도로포장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B 화학산업,370.77906,659.83939,2767.12466,2840.59881,3105.26682,3642.10974,4130.72173,4950.09673,5615.06795,6640.33622,7541.2543,7918.38368,7740.62557,11187.46438,13438.98574,11591.89887,10842.48161,1465.33456,782.76476,729.89781,728.13821,834.97788,980.24287,937.98147,899.79205,814.00079,912.13126,947.79776,959.70001,936.48271,907.04349,1013.9223
C 금속산업,95.43128,77.89591,84.84317,107.53002,120.91322,137.80257,145.71858,166.6306,137.13183,141.55884,147.70239,143.61384,153.38695,157.16172,169.36322,194.17634,143.05334,180.18049,218.98903,155.26512,259.03217,268.0992,327.15988,386.77981,435.21957,223.77085,270.12011,269.56571,248.58934,189.45385,136.15708,181.06713
C 금속산업_1 철강생산,70.80008,77.89591,84.84317,107.53002,120.91322,137.80257,145.71858,166.6306,137.13183,141.55884,147.70239,143.61384,153.38695,157.16172,169.36322,194.17634,143.05334,180.18049,218.98903,155.26512,177.77217,178.4742,181.36988,177.65481,171.00507,137.77865,150.81131,158.90871,158.84484,165.36265,110.91868,152.38713
C 금속산업_2 합금철 생산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 금속산업_3 알루미늄 생산,24.6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C 금속산업_4 마그네슘 생산의 SF6 소비,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.26,89.625,145.79,209.125,264.2145,85.9922,119.3088,110.657,89.7445,24.0912,25.2384,28.68
D 기타산업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E 할로카본 및 육불화황 생산,982.8,798.876,1871.064,2106,2266.992,2609.568,2859.48,3255.408,1943.136,3641.508,3236.22,556.92,1993.68,0.04932,0.02456,0.06356,0.10945,0.11718,0.12137,0.1226,0.13035,0.12138,0.08458,0.03041,0,0,0,0,0,0,0,0
E 할로카본 및 육불화황 생산_1 부산물 배출,982.8,798.876,1871.064,2106,2266.992,2609.568,2859.48,3255.408,1943.136,3641.508,3236.22,556.92,1993.68,0.04932,0.02456,0.06356,0.10945,0.11718,0.12137,0.1226,0.13035,0.12138,0.08458,0.03041,0,0,0,0,0,0,0,0
E 할로카본 및 육불화황 생산_2 탈루 배출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비,173.40009,332.61047,351.84696,400.14388,2114.45006,4044.59965,4659.14651,7114.56478,5616.28219,9541.9718,10280.27812,10010.76603,11551.32603,12023.62524,13294.70254,13719.95623,14336.78426,16761.48447,17123.76453,16346.53579,20360.58425,18512.70581,19540.23402,19914.5761,21498.47488,17872.38222,15757.45809,18641.95678,19572.36947,15930.08858,15143.3567,16726.10804
F 할로카본 및 육불화황 소비_1 냉장 및 냉방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비_2 발포제,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비_3 소화기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비_4 에어로졸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비_5 용매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비_6 기타 용도의 ODS 대체물질 사용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F 할로카본 및 육불화황 소비_7 반도체 제조,0,0,0,0,0,0,0,2028.82038,1946.60329,2520.14593,2964.26868,2729.46186,2787.71504,3303.4258,4197.36298,4697.13483,5602.18815,6559.03261,6842.74504,7312.13721,8343.52762,7996.92393,8182.79301,8826.29909,9743.64812,7285.50419,4947.09065,6236.21201,7130.96139,6200.82091,5884.26635,6095.98459
F 할로카본 및 육불화황 소비_8 중전기기,173.40009,332.61047,345.41264,387.31124,543.54476,1506.08705,1152.21101,1287.49907,792.944,2695.7054,2217.32556,2070.00255,2202.7216,2392.82436,2653.3136,2540.2424,2844.97939,3084.07726,3626.57361,3398.17489,4172.41333,2857.31196,2976.86089,3321.68802,3620.49724,2857.07733,3636.20479,3068.58634,3618.96232,3404.36212,3316.44744,3561.37074
F 할로카본 및 육불화황 소비_9 기타(잠재배출량),0,0,6.43432,12.83264,1570.9053,2538.5126,3506.9355,3798.24534,2876.7349,4326.12048,5098.68388,5211.30162,6560.88938,6327.37508,6444.02596,6482.579,5889.61672,7118.3746,6654.44588,5636.2237,7844.6433,7658.46992,8380.58012,7766.589,8134.32952,7729.8007,7174.16264,9337.15842,8822.44576,6324.90555,5942.64292,7068.7527
농업,20971.69685,21238.36345,21640.66984,22108.39014,22554.06664,22820.64849,23333.73263,23341.75331,23066.85372,21941.912,21368.79123,20868.2954,20731.307,20473.99632,20567.85425,20738.72773,20844.82036,21070.50426,21145.9855,21654.56763,22070.24878,21120.56692,21470.18203,21347.72355,21374.42581,20983.963,20809.52026,20958.19297,21135.52763,20964.73088,21173.06173,21414.89869
